[Thu Dec 07 15:16:27.581718 2017] [mpm_winnt:notice] [pid 6920:tid 588] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu Dec 07 15:16:27.581718 2017] [mpm_winnt:notice] [pid 6920:tid 588] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu Dec 07 15:16:27.581718 2017] [core:notice] [pid 6920:tid 588] AH00094: Command line: 'C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie/apache2/bin/httpd_usbwv8.exe -d C:/Users/robbroes/Desktop/ActiviteitRegistratie/apache2'
[Thu Dec 07 15:16:27.584727 2017] [mpm_winnt:notice] [pid 6920:tid 588] AH00418: Parent: Created child process 7276
[Thu Dec 07 15:16:27.866600 2017] [mpm_winnt:notice] [pid 7276:tid 676] AH00354: Child: Starting 64 worker threads.
[Thu Dec 07 15:21:53.680092 2017] [:error] [pid 7276:tid 1204] [client ::1:50105] script 'C:/Users/robbroes/Desktop/ActiviteitRegistratie/root/PHP/NieuwActiviteit.php' not found or unable to stat, referer: http://localhost:8080/index.php
[Thu Dec 07 15:30:01.505502 2017] [:error] [pid 7276:tid 1204] [client ::1:50128] PHP Parse error:  syntax error, unexpected ';' in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 9, referer: http://localhost:8080/index.php
[Thu Dec 07 15:30:11.848647 2017] [:error] [pid 7276:tid 1196] [client ::1:50131] PHP Parse error:  syntax error, unexpected '.' in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 15, referer: http://localhost:8080/index.php
[Thu Dec 07 15:30:25.865622 2017] [:error] [pid 7276:tid 1196] [client ::1:50133] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 8, referer: http://localhost:8080/index.php
[Thu Dec 07 15:30:25.867619 2017] [:error] [pid 7276:tid 1196] [client ::1:50133] PHP Notice:  Use of undefined constant recordNaam - assumed 'recordNaam' in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 15, referer: http://localhost:8080/index.php
[Thu Dec 07 15:33:20.489250 2017] [:error] [pid 7276:tid 1196] [client ::1:50148] PHP Parse error:  syntax error, unexpected '.' in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 17, referer: http://localhost:8080/index.php
[Thu Dec 07 15:33:36.904380 2017] [:error] [pid 7276:tid 1196] [client ::1:50149] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 8, referer: http://localhost:8080/index.php
[Thu Dec 07 15:33:36.904380 2017] [:error] [pid 7276:tid 1196] [client ::1:50149] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 9, referer: http://localhost:8080/index.php
[Thu Dec 07 15:33:58.052641 2017] [:error] [pid 7276:tid 1196] [client ::1:50151] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 8, referer: http://localhost:8080/index.php
[Thu Dec 07 15:33:58.052641 2017] [:error] [pid 7276:tid 1196] [client ::1:50151] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 9, referer: http://localhost:8080/index.php
[Thu Dec 07 15:35:18.079368 2017] [:error] [pid 7276:tid 1196] [client ::1:50156] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 8, referer: http://localhost:8080/index.php
[Thu Dec 07 15:35:18.079368 2017] [:error] [pid 7276:tid 1196] [client ::1:50156] PHP Notice:  date_default_timezone_set(): Timezone ID 'Belgium/Brussels' is invalid in C:\\Users\\robbroes\\Desktop\\ActiviteitRegistratie\\root\\PHP\\NieuwActiviteit.php on line 10, referer: http://localhost:8080/index.php
